P:99.95%	R:72.17%
----------------------------
Node	P	R
1	60.00%	100.00%
354	83.33%	100.00%
371	87.50%	100.00%
420	71.43%	100.00%
576	70.00%	100.00%
612	36.36%	100.00%
901	28.00%	100.00%
912	82.61%	100.00%
2	40.00%	100.00%
577	44.44%	100.00%
653	45.45%	100.00%
731	76.92%	100.00%
741	87.50%	100.00%
947	70.00%	100.00%
968	18.18%	100.00%
981	42.86%	100.00%
3	80.00%	100.00%
251	85.71%	100.00%
670	66.67%	100.00%
793	81.25%	100.00%
810	70.59%	100.00%
827	77.78%	100.00%
979	27.27%	100.00%
980	75.76%	100.00%
4	83.33%	100.00%
562	55.56%	100.00%
651	81.82%	100.00%
898	65.22%	100.00%
905	82.61%	100.00%
956	73.33%	100.00%
963	73.33%	100.00%
965	69.70%	100.00%
5	83.33%	100.00%
568	90.00%	100.00%
698	69.23%	100.00%
719	85.71%	100.00%
783	93.33%	100.00%
864	76.19%	100.00%
871	80.95%	100.00%
930	76.00%	100.00%
6	80.00%	100.00%
155	83.33%	100.00%
194	66.67%	100.00%
225	83.33%	100.00%
240	83.33%	100.00%
405	87.50%	100.00%
604	30.00%	100.00%
855	85.00%	100.00%
7	80.00%	100.00%
675	61.54%	100.00%
714	69.23%	100.00%
724	80.00%	100.00%
755	78.57%	100.00%
914	95.83%	100.00%
928	29.63%	100.00%
982	80.56%	100.00%
8	100.00%	100.00%
121	66.67%	100.00%
692	69.23%	100.00%
751	60.00%	100.00%
797	70.59%	100.00%
826	36.84%	100.00%
909	54.17%	100.00%
938	75.00%	100.00%
9	60.00%	100.00%
543	66.67%	100.00%
596	63.64%	100.00%
622	63.64%	100.00%
800	93.75%	100.00%
917	32.00%	100.00%
991	18.75%	100.00%
10	83.33%	100.00%
334	85.71%	100.00%
455	85.71%	100.00%
666	25.00%	100.00%
694	84.62%	100.00%
774	68.75%	100.00%
795	70.59%	100.00%
816	70.59%	100.00%
11	100.00%	100.00%
219	100.00%	100.00%
682	69.23%	100.00%
811	81.25%	100.00%
884	69.57%	100.00%
886	63.64%	100.00%
897	70.83%	100.00%
12	80.00%	100.00%
96	80.00%	100.00%
115	66.67%	100.00%
132	66.67%	100.00%
281	57.14%	100.00%
756	26.67%	100.00%
845	82.35%	100.00%
13	16.67%	100.00%
421	71.43%	100.00%
808	94.12%	100.00%
943	56.67%	100.00%
971	65.71%	100.00%
994	72.22%	100.00%
14	40.00%	100.00%
236	100.00%	100.00%
600	36.36%	100.00%
746	35.71%	100.00%
957	78.57%	100.00%
15	100.00%	100.00%
268	100.00%	100.00%
466	75.00%	100.00%
752	85.71%	100.00%
895	79.17%	100.00%
908	76.00%	100.00%
925	92.31%	100.00%
16	100.00%	100.00%
414	87.50%	100.00%
524	88.89%	100.00%
529	100.00%	100.00%
787	93.75%	100.00%
806	88.89%	100.00%
812	88.24%	100.00%
857	89.47%	100.00%
17	83.33%	100.00%
47	100.00%	100.00%
116	83.33%	100.00%
349	85.71%	100.00%
366	75.00%	100.00%
438	100.00%	100.00%
750	53.33%	100.00%
844	77.78%	100.00%
18	100.00%	100.00%
634	72.73%	100.00%
900	75.00%	100.00%
936	85.19%	100.00%
958	76.67%	100.00%
972	76.47%	100.00%
998	75.00%	100.00%
19	80.00%	100.00%
27	80.00%	100.00%
97	80.00%	100.00%
181	0.00%	0
308	57.14%	100.00%
322	66.67%	100.00%
967	70.97%	100.00%
20	83.33%	100.00%
449	88.89%	100.00%
471	88.89%	100.00%
528	88.89%	100.00%
580	90.00%	100.00%
736	66.67%	100.00%
837	83.33%	100.00%
21	80.00%	100.00%
640	72.73%	100.00%
875	85.00%	100.00%
896	82.61%	100.00%
920	88.46%	100.00%
952	86.21%	100.00%
