-N 1000 -k 15 -maxk 50 -mu 0.3 -om 3 -on 200
P	R
99.75%	58.47%
----------------------------
Node	P	R
1	0.00%	0
111	80.00%	100.00%
661	33.33%	100.00%
672	41.67%	100.00%
824	61.11%	100.00%
828	55.00%	100.00%
900	62.50%	100.00%
961	27.59%	100.00%
2	60.00%	100.00%
582	63.64%	100.00%
703	42.86%	100.00%
712	46.15%	100.00%
776	37.50%	100.00%
779	66.67%	100.00%
895	31.82%	100.00%
989	25.71%	100.00%
3	80.00%	100.00%
219	83.33%	100.00%
527	77.78%	100.00%
761	56.25%	100.00%
813	63.16%	100.00%
831	55.00%	100.00%
850	66.67%	100.00%
4	60.00%	100.00%
350	28.57%	100.00%
442	57.14%	100.00%
619	45.45%	100.00%
899	77.27%	100.00%
928	21.43%	100.00%
935	29.63%	100.00%
957	43.33%	100.00%
5	83.33%	100.00%
46	100.00%	100.00%
195	83.33%	100.00%
241	100.00%	100.00%
278	66.67%	100.00%
515	80.00%	100.00%
700	57.14%	100.00%
941	71.43%	100.00%
6	80.00%	100.00%
27	100.00%	100.00%
59	80.00%	100.00%
87	80.00%	100.00%
473	37.50%	100.00%
645	27.27%	100.00%
889	27.27%	100.00%
7	66.67%	100.00%
309	87.50%	100.00%
589	72.73%	100.00%
879	45.00%	100.00%
890	61.90%	100.00%
931	73.08%	100.00%
939	74.07%	95.24%
971	25.00%	100.00%
8	80.00%	100.00%
815	62.50%	100.00%
845	50.00%	100.00%
861	60.00%	100.00%
886	61.90%	100.00%
908	50.00%	100.00%
987	25.71%	100.00%
9	60.00%	100.00%
623	75.00%	100.00%
735	57.14%	100.00%
914	28.00%	100.00%
975	21.88%	100.00%
978	62.50%	100.00%
985	68.57%	100.00%
996	21.05%	100.00%
10	100.00%	100.00%
22	83.33%	100.00%
30	83.33%	100.00%
54	80.00%	100.00%
175	85.71%	100.00%
191	66.67%	100.00%
837	77.78%	100.00%
11	100.00%	100.00%
729	78.57%	100.00%
902	73.91%	100.00%
946	62.07%	100.00%
955	31.03%	100.00%
966	60.00%	100.00%
976	61.29%	100.00%
994	50.00%	100.00%
12	40.00%	100.00%
421	75.00%	100.00%
593	50.00%	100.00%
683	50.00%	100.00%
802	75.00%	100.00%
969	61.29%	100.00%
973	72.73%	100.00%
990	71.43%	100.00%
13	0.00%	0.00%
263	0.00%	0.00%
820	68.75%	100.00%
932	70.37%	100.00%
949	66.67%	100.00%
974	53.33%	100.00%
14	20.00%	100.00%
91	66.67%	100.00%
366	28.57%	100.00%
512	22.22%	100.00%
832	68.42%	100.00%
910	52.17%	100.00%
988	58.82%	100.00%
15	100.00%	100.00%
260	80.00%	100.00%
323	85.71%	100.00%
857	57.14%	100.00%
911	68.00%	100.00%
944	25.00%	100.00%
16	100.00%	100.00%
316	75.00%	100.00%
551	90.00%	100.00%
