-N 1000 -k 15 -maxk 50 -mu 0.3 -om 7 -on 200
P:99.05%	R:52.59%
----------------------------
Node	P	R
1	75.00%	100.00%
178	71.43%	100.00%
479	75.00%	100.00%
531	77.78%	100.00%
585	30.00%	100.00%
792	47.06%	100.00%
824	16.67%	100.00%
911	70.83%	100.00%
2	100.00%	100.00%
320	71.43%	100.00%
364	75.00%	100.00%
389	62.50%	100.00%
391	75.00%	100.00%
398	62.50%	100.00%
400	62.50%	100.00%
864	78.57%	100.00%
3	80.00%	100.00%
5	100.00%	100.00%
17	75.00%	100.00%
265	87.50%	100.00%
580	60.00%	100.00%
633	61.54%	100.00%
836	38.89%	100.00%
989	31.58%	100.00%
4	100.00%	100.00%
587	45.45%	100.00%
839	88.24%	100.00%
885	68.18%	100.00%
899	60.87%	100.00%
929	62.50%	100.00%
957	56.25%	100.00%
987	45.71%	100.00%
558	63.64%	100.00%
600	81.82%	100.00%
609	63.64%	100.00%
769	68.75%	100.00%
897	59.09%	100.00%
6	60.00%	100.00%
470	75.00%	100.00%
604	100.00%	100.00%
637	18.18%	66.67%
877	57.89%	100.00%
1000	15.79%	100.00%
7	80.00%	100.00%
45	100.00%	100.00%
578	88.89%	100.00%
665	69.23%	100.00%
823	85.71%	100.00%
887	40.91%	100.00%
986	13.51%	100.00%
8	83.33%	100.00%
684	100.00%	100.00%
795	71.43%	100.00%
845	83.33%	100.00%
946	58.82%	100.00%
967	40.74%	100.00%
990	32.35%	100.00%
9	60.00%	100.00%
57	50.00%	100.00%
216	57.14%	100.00%
239	80.00%	100.00%
269	85.71%	100.00%
590	50.00%	80.00%
10	83.33%	100.00%
703	7.69%	100.00%
820	69.23%	100.00%
963	67.86%	100.00%
969	61.29%	100.00%
973	59.38%	100.00%
976	57.58%	100.00%
980	54.29%	100.00%
11	12.50%	100.00%
179	50.00%	100.00%
305	33.33%	100.00%
312	57.14%	100.00%
518	77.78%	100.00%
751	46.67%	100.00%
771	46.67%	100.00%
896	59.09%	100.00%
941	39.29%	100.00%
991	52.78%	100.00%
12	60.00%	100.00%
21	0.00%	0
235	20.00%	50.00%
330	57.14%	100.00%
354	57.14%	100.00%
492	22.22%	100.00%
853	21.05%	100.00%
884	50.00%	100.00%
13	80.00%	100.00%
206	80.00%	100.00%
372	50.00%	100.00%
656	36.36%	100.00%
700	33.33%	100.00%
825	80.00%	100.00%
955	55.17%	100.00%
14	100.00%	100.00%
498	66.67%	100.00%
783	64.71%	100.00%
796	61.11%	100.00%
806	68.75%	100.00%
935	44.00%	100.00%
994	55.56%	100.00%
15	33.33%	100.00%
503	37.50%	100.00%
695	33.33%	100.00%
712	23.08%	75.00%
719	38.46%	100.00%
852	31.58%	100.00%
972	54.84%	100.00%
16	75.00%	100.00%
39	75.00%	100.00%
275	50.00%	100.00%
371	42.86%	100.00%
418	88.89%	100.00%
280	50.00%	100.00%
439	0.00%	0
530	37.50%	100.00%
554	30.00%	100.00%
975	15.62%	100.00%
18	80.00%	100.00%
176	50.00%	100.00%
556	77.78%	100.00%
636	66.67%	100.00%
759	46.67%	100.00%
791	12.50%	100.00%
805	41.18%	87.50%
19	20.00%	100.00%
562	10.00%	100.00%
731	69.23%	100.00%
873	50.00%	100.00%
937	57.69%	100.00%
20	0.00%	0.00%
296	42.86%	100.00%
569	0.00%	0.00%
948	72.41%	100.00%
977	32.35%	100.00%
978	60.00%	100.00%
243	50.00%	100.00%
447	55.56%	100.00%
678	23.08%	100.00%
734	13.33%	100.00%
942	46.43%	100.00%
966	67.74%	100.00%
968	45.45%	100.00%
22	83.33%	100.00%
369	85.71%	100.00%
615	90.00%	100.00%
807	84.62%	100.00%
859	73.33%	100.00%
882	61.11%	100.00%
893	50.00%	100.00%
23	0.00%	0
701	69.23%	100.00%
742	60.00%	100.00%
767	86.67%	100.00%
943	30.77%	100.00%
960	51.61%	100.00%
24	80.00%	100.00%
618	81.82%	100.00%
763	66.67%	100.00%
785	84.62%	100.00%
866	50.00%	100.00%
874	30.00%	100.00%
895	13.64%	100.00%
25	75.00%	100.00%
92	20.00%	100.00%
123	75.00%	100.00%
224	75.00%	100.00%
346	42.86%	100.00%
710	16.67%	100.00%
847	77.78%	100.00%
26	75.00%	100.00%
254	60.00%	100.00%
375	60.00%	100.00%
423	33.33%	100.00%
715	76.92%	100.00%
27	83.33%	100.00%
717	85.71%	100.00%
965	67.74%	100.00%
